name;rating;categories;benefits;description
Arbutin;Best;Plant Extracts, Antioxidant;Dark Spot Fading, Evens Skin Tone;The Scientific Committee on Consumer Safety recognizes up to a 2% concentration of alpha-arbutin and 7% concentration of beta-arbutin as safe in facial skin care products.
Arctium Lappa;Best;Antioxidant, Plant Extracts;Soothing, Anti-Aging;
Arctium Majus;Best;Antioxidant, Plant Extracts;Soothing, Anti-Aging;
Arctostaphylos Uva Ursi Leaf Extract;Best;Antioxidant, Plant Extracts;Anti-Aging, Dark Spot Fading;Arctostaphylos uva ursi leaf extract is a plant-based ingredient with antioxidant properties. Research also indicates it can help improve the look of skin discolorations.
Argania Spinosa;Best;Antioxidant, Plant Extracts;Anti-Aging;
Argania Spinosa Kernel Oil;Best;Emollient, Antioxidant, Plant Extracts;Hydration, Anti-Aging;The Latin name for the oil expressed from the kernels of the argan tree.
Argan Oil;Best;Emollient, Antioxidant, Plant Extracts;Hydration, Anti-Aging;Non-fragrant plant oil expressed from the kernels of argan trees. Argan oil contains several beneficial lipids and fatty acids for skin, including oleic acid, palmitic acid, and, especially, linoleic acid. It is also a good source of antioxidant vitamin E (tocopherol) and, like several other plant oils, a source of other antioxidant compounds.Despite the hype, argan oil isn’t a miraculous ingredient by any stretch of the imagination. It’s merely a good, emollient, non-fragrant plant oil. It’s a consideration if skin or hair is dry to very dry, but is not necessarily any better than many other non-fragrant plant oils used in cosmetics. As with any plant oil, those with oily skin should think twice before applying it full strength as doing so will make skin look and feel greasy.
Arginine;Best;Antioxidant, Humectant;Hydration, Anti-Aging;In 2012, the Cosmetic Ingredient Review Expert Panel concluded that arginine is safe in the present practices of use and concentration (up to 18%) in cosmetics. It is also known as l-arginine.
Arginine/Lysine Polypeptide;Best;Peptides;Anti-Aging, Hydration;In terms of concentration for visible results, the recommended amount to use is between 0.4-2% of this blend. Since both amino acids making up this peptide are found naturally in skin, arginine/lysine polypeptide is considered safe and non-irritating.
Argireline;Good;Peptides;Anti-Aging;
Aristotelia Chilensis (Maqui);Best;Antioxidant, Plant Extracts;Anti-Aging;Maqui, also known as Chilean wineberry, is a richly-colored berry that contains a potent type of antioxidant anthocyanidin known as delphinidins, which can help skin better withstand the rigors of UV light exposure (but just to be clear, this ingredient does not replace the need for sunscreen). Maqui is also a great antioxidant when consumed orally, largely due to the action of its polyphenols, flavanols, other anthocyanins, and ellagic acid, all of which work to squelch damaging free radicals that, left unchecked, can lead to health issues.
Arnica Extract;Worst;Plant Extracts, Irritant;;Extract or oil obtained from the flowering plant Arnica montana. There is research showing that when arnica is taken orally before surgery it soothes sensitivity. However, in high amounts it is a risk for skin sensitivity.
Aroma/Flavor;Average;Fragrance: Synthetic and Natural;;Seeing “aroma/flavor” on an ingredient list can be either good or bad. For example, if the aroma or flavor comes from mint or citrus, it can be sensitizing. But if the source is something more innocuous, like vanilla, then it shouldn’t pose a risk. According to the Personal Care Product Council’s Ingredient Database, “Aroma is a term for ingredient labeling used to identify that a product contains a material or combination of materials normally added to a cosmetic to produce or to mask a particular flavor.” The point to be aware of is what kind of flavor your lips (or skin) are being exposed to - and whether or not the exposure poses a risk of sensitivity. Last, be aware that highly flavored lip products can encourage lip-licking - after all, such products do tend to taste goodâ€”but they shouldn’t be eaten, and licking your lips too often can cause or worsen dry lips.
Arrowroot;Average;Texture Enhancer, Plant Extracts;;"Thickening agent; it has no known benefit for skin."
Artemia Extract;Good;Plant Extracts;Hydration;
Artemisia Absinthium Extract;Average;Plant Extracts, Antioxidant;Anti-Aging;
Artemisia Vulgaris;Average;Plant Extracts, Antioxidant;Hydration;
Ascophyllum Nodosum;Good;Plant Extracts, Antioxidant, Texture Enhancer;Hydration;Ascophyllum nodosum is a type of cold water brown seaweed that has antioxidant properties and serves as a texture enhancer in cosmetics.
Ascorbic Acid;Best;Antioxidant, pH Adjuster/Stabilizer;Anti-Aging, Dark Spot Fading, Evens Skin Tone;Considered safe as used in cosmetics, ascorbic acid is also fine to use with retinol and niacinamide without any of these ingredients causing the other to break down or lose effectiveness beyond what would normally occur due to air and light exposure, which is why ingredients like these need to be routinely applied.
Ascorbyl Glucosamine;Best;Antioxidant;Anti-Aging;Form of vitamin C that has little research showing it has the antioxidant or skin-brightening properties of other forms of vitamin C.
Ascorbyl Glucoside;Best;Antioxidant;Anti-Aging, Dark Spot Fading, Evens Skin Tone;Ascorbyl glucoside is widely compatible with other cosmetic ingredients. Unlike the tight pH range ascorbic acid needs to be effective on skin, ascorbyl glucoside works between a pH of 5-8, with the lower end of this spectrum considered better due to being a close match to the normal pH range of skin.
Ascorbyl Methylsilanol Pectinate;Best;Antioxidant, Texture Enhancer;Anti-Aging, Hydration;Form of vitamin C that is considered stable and that functions as an antioxidant and thickening agent.
Ascorbyl Palmitate;Best;Antioxidant;Anti-Aging, Dark Spot Fading, Evens Skin Tone;It’s considered safe in the amounts commonly used in skin care and makeup products.
Asimina Triloba Fruit Extract;Bad;Plant Extracts, Humectant;Hydration;
Asparagine;Good;Antioxidant;Anti-Aging, Hydration;
Asparagopsis Armata Extract;Good;Antioxidant, Plant Extracts, Texture Enhancer;Anti-Aging, Soothing;Extract derived from seaweed.
Aspartic Acid;Good;Antioxidant;Hydration, Soothing;Aspartic acid is an amino acid that can help strengthen skin’s natural defense system, making it less likely to show signs of aging from environmental damage.
Astaxanthin;Best;Antioxidant, Plant Extracts, Coloring Agent/Pigment;Anti-Aging, Soothing;
Astaxanthin Extract;Best;Antioxidant, Plant Extracts, Coloring Agent/Pigment;Anti-Aging, Soothing;Carotenoid (carotene pigment) found in plants, algae, and fish, particularly salmon, that functions as a potent antioxidant.
Astragalus Gummifier Gum;Good;Texture Enhancer;;Natural gum used as a thickener in cosmetics.
Astragalus Membranaceus;Best;Antioxidant, Plant Extracts;Anti-Aging;Latin name for the Chinese herb Huang-Qi, also known as milk vetch.
Astragalus Sinicus;Good;Antioxidant, Plant Extracts;Anti-Aging;
Astrocaryum Murumuru Seed Butter;Good;Emollient, Plant Extracts;Hydration;A non-fragrant vegetable fat that’s nearly solid at room temperature (much like dairy butter). It functions as an emollient ingreident that works to keep moisture in skin and soften its texture. More commonly known as murumuru butter, it is a species of Brazilian palm tree and its benefits are considered similar to palm oil. Unlike palm oil, there’s little research proving murumuru butter is great for dry skin, though as with any butter, it can be considered a good emollient.
ATP;Best;Antioxidant;Anti-Aging;
Atractyloydes Lancea Root Extract;Average;Antioxidant, Plant Extracts;Anti-Aging, Soothing;Also known as Chinese Thistle Daisy, Atractyloydes lancea root extract has been shown to have skin-soothing properties. Whether or not this can be of benefit when the entire extract is applied topically is currently unknown.
Avena Sativa Kernel Extract;Best;Plant Extracts, Antioxidant;Soothing;Avena sativa kernel extract is another name for oat extract. This plant-derived ingredient is well-known for both its antioxidant and skin-soothing properties.
Avobenzone;Best;UV Filters;Anti-Aging;Note: this UV filter is also known as Parsol 1789 or butyl methoxydibenzoylmethane, but avobenzone is the official name when used in sunscreens.
Avocado Oil;Best;Emollient, Antioxidant;Hydration, Anti-Aging;Emollient oil similar to other non-fragrant plant oils. It has antioxidant properties and is a good source of skin-replenishing fatty acids.
Awapuhi;Worst;Plant Extracts, Irritant;;English name for wild ginger.
Azadirachta Indica;Best;Plant Extracts, Antioxidant;Anti-Aging;The extract form has antioxidant and skin-calming benefits and may also help reduce the population of harmful microbes on skin’s surface while the oil form can be a skin irritant.
Azelaic Acid;Best;Antioxidant, Exfoliant, pH Adjuster/Stabilizer;Anti-Acne, Dark Spot Fading, Smooths Bumpy Skin;Azelaic acid is available in strengths of 10% or less over the counter, and in topical prescription products at concentrations between 15-20% where it is FDA-approved for treating acne and rosacea. In 2012 the Cosmetic Ingredient Review Expert Panel concluded azelaic acid was a safe skin care ingredient.
Azelaoyl Bis-Dipeptide-10;Best;Peptides, Antioxidant;Anti-Aging, Evens Skin Tone, Soothing;A synthetic peptide built around naturally-derived azelaic acid. According to raw material supplier, Sinerga, this peptide offers brightening, antioxidant, and protective benefits against advanced glycation end-products (AGEs), damaging substances in skin that can break down its support, leading to loss of firmness.
